Plot no,Weather_file_no
1,weather_01
2,weather_02
3,weather_03
4,weather_04
5,weather_05
6,weather_06
7,weather_07
8,weather_08
9,weather_09
10,weather_10
11,weather_11
12,weather_12
13,weather_13
14,weather_14
15,weather_15
16,weather_16
17,weather_17
18,weather_18
19,weather_19
20,weather_20
21,weather_21
22,weather_22
23,weather_23
24,weather_24
25,weather_25
26,weather_26
27,weather_27
28,weather_28
29,weather_29
30,weather_30
31,weather_31
32,weather_32
33,weather_33
34,weather_34
35,weather_35
36,weather_36
37,weather_37
38,weather_38
39,weather_39
40,weather_40
41,weather_41
42,weather_42
43,weather_43
44,weather_44
45,weather_45
46,weather_46
47,weather_47
48,weather_48
49,weather_49
50,weather_50
51,weather_51
52,weather_52
53,weather_53
54,weather_54
55,weather_55
56,weather_56
57,weather_57
58,weather_58
59,weather_59
60,weather_60
61,weather_61
62,weather_62
63,weather_63
64,weather_64
65,weather_65
66,weather_66
67,weather_67
68,weather_68
69,weather_69
70,weather_70
71,weather_71
72,weather_72
73,weather_73
74,weather_74
75,weather_75
76,weather_76
77,weather_77
78,weather_78
79,weather_79
80,weather_80
81,weather_81
82,weather_82
83,weather_83
84,weather_84
85,weather_85
86,weather_86
87,weather_87
88,weather_88
89,weather_89
90,weather_90
