X,Y,height,SAND_0,SILT_0,CLAY_0,SAND_30,SILT_30,CLAY_30,SAND_60,SILT_60,CLAY_60,Corg,Bulk_Density_0,Bulk_Density_30,Bulk_Density_60
464215,5805415,49.51567459,72.72037612,22.17674989,5.102873988,73.50013202,20.39200038,6.107867602,75.56029934,15.67713739,8.76256327,1.059515353,1.3,1.5,1.7
464225,5805415,49.43175888,71.94318702,21.60872002,6.448092956,72.49603857,19.94295974,7.561001692,73.96062304,16.92340394,9.115973014,1.132378794,1.3,1.5,1.7
464235,5805415,49.35645294,71.94586594,21.76703481,6.287099256,72.28178113,20.15858237,7.559636498,72.30636426,18.97917791,8.714457828,1.121075375,1.3,1.5,1.7
464245,5805415,49.30966187,72.63343238,22.00074423,5.365823395,72.9278405,20.59580284,6.476356661,72.39114769,18.3339806,9.27487171,1.170811555,1.3,1.5,1.7
464255,5805415,49.3531189,72.00250233,22.46143578,5.536061889,72.34256503,21.09963802,6.557796941,73.49734534,17.97558309,8.527071565,1.159186416,1.3,1.5,1.7
464265,5805415,49.50222015,72.99020015,21.18270968,5.827090167,73.58502636,19.27006559,7.144908058,75.06746485,15.51678104,9.415754113,1.287340014,1.3,1.5,1.7
464215,5805405,49.72583389,71.96857811,19.43965761,8.59176428,72.53270614,17.54752899,9.919764862,72.89684409,15.40231874,11.70083717,0.984815065,1.3,1.5,1.7
464225,5805405,49.67537689,71.02939763,20.00714947,8.9634529,71.31222604,18.51396098,10.17381298,70.88104851,18.16761941,10.95133208,1.004776083,1.3,1.5,1.7
464235,5805405,49.57667542,69.69863543,21.43636639,8.864998183,70.09493015,19.69152658,10.21354328,67.64210993,19.08436582,13.27352425,1.004653885,1.3,1.5,1.7
464245,5805405,49.53435898,70.41444089,21.70141358,7.884145522,70.89209444,20.01799343,9.089912125,68.21734603,18.4223506,13.36030337,1.041045408,1.3,1.5,1.7
464255,5805405,49.59324646,70.86722281,20.33576283,8.797014357,71.02997366,18.99197027,9.978056068,70.07948243,16.59337464,13.32714292,1.041907447,1.3,1.5,1.7
464265,5805405,49.74598694,71.45658388,19.90834818,8.635067939,71.76214097,18.47631468,9.761544348,71.67349704,16.45231787,11.87418509,1.158560008,1.3,1.5,1.7
464205,5805395,50.07849121,72.32610227,20.27856563,7.3953321,72.9458333,18.34830181,8.705864893,74.20598045,15.4377496,10.35626995,0.833194551,1.3,1.5,1.7
464215,5805395,50.05384445,72.53167143,21.47769746,5.99063111,73.12304965,19.96756012,6.909390231,74.42997741,16.55204602,9.017976567,0.851171123,1.3,1.5,1.7
464225,5805395,50.0160141,72.72016638,21.28424603,5.995587595,73.42585012,19.7606818,6.813468079,73.79841888,17.17906408,9.022517035,0.887668572,1.3,1.5,1.7
464235,5805395,49.90029907,71.01083374,21.99697162,6.992194647,71.15164635,20.5204463,8.327907342,68.14614473,18.98565975,12.86819552,0.881788634,1.3,1.5,1.7
464245,5805395,49.84781647,70.37414665,21.74992157,7.875931773,70.49374948,20.31948349,9.186767029,67.08882484,19.37128516,13.53989,0.90034952,1.3,1.5,1.7
464255,5805395,49.90599442,69.20005331,21.86700784,8.932938847,69.30694533,20.45645355,10.23660113,65.97707036,20.3657446,13.65718504,0.899898681,1.3,1.5,1.7
464265,5805395,50.05357361,69.60844533,21.43778573,8.953768946,69.85156727,19.77630675,10.37212598,67.37498292,19.07644138,13.5485757,1.066013233,1.3,1.5,1.7
464205,5805385,50.49650192,72.45420849,21.20987091,6.335920597,73.06616254,19.34049605,7.593341414,74.96919069,16.02568501,9.005124305,0.820581932,1.3,1.5,1.7
464215,5805385,50.45472336,72.08687923,22.28069405,5.63242672,72.50998169,21.00642866,6.483589644,74.14572276,17.39316484,8.461112395,0.860299408,1.3,1.5,1.7
464225,5805385,50.39431381,72.08857283,22.42058451,5.490842659,72.55209391,20.91353204,6.534374051,74.24846399,17.37992341,8.371612596,0.88793481,1.3,1.5,1.7
