x,y,DEM,Soil,id
851965,5836560,43.16,395020,91
851970,5836560,43.16,395020,92
851975,5836560,43.14,395020,93
851980,5836560,43.12,395020,94
851985,5836560,43.15,395020,95
851990,5836560,43.17,395020,96
851995,5836560,43.18,395020,97
852000,5836560,43.17,395020,98
852005,5836560,43.17,395020,99
852010,5836560,43.21,395020,100
852015,5836560,43.22,395020,101
852020,5836560,43.31,395020,102
852025,5836560,43.39,395020,103
852030,5836560,43.48,395020,104
852035,5836560,43.52,395020,105
852040,5836560,43.4,395020,106
852045,5836560,43.3,395020,107
851960,5836555,43.13,395020,108
851965,5836555,43.19,395020,109
851970,5836555,43.19,395020,110
851975,5836555,43.2,395020,111
851980,5836555,43.2,395020,112
851985,5836555,43.19,395020,113
851990,5836555,43.18,395020,114
851995,5836555,43.18,395020,115
852000,5836555,43.19,395020,116
852005,5836555,43.19,395020,117
852010,5836555,43.23,395020,118
852015,5836555,43.32,395020,119
852020,5836555,43.4,395020,120
852025,5836555,43.53,395020,121
852030,5836555,43.63,395020,122
852035,5836555,43.62,395020,123
852040,5836555,43.56,395020,124
852045,5836555,43.5,395020,125
851960,5836550,43.15,395020,126
851965,5836550,43.22,395020,127
851970,5836550,43.23,395020,128
851975,5836550,43.21,395020,129
851980,5836550,43.21,395020,130
851985,5836550,43.24,395020,131
851990,5836550,43.25,395020,132
851995,5836550,43.26,395020,133
852000,5836550,43.24,395020,134
852005,5836550,43.24,395020,135
852010,5836550,43.31,395020,136
852015,5836550,43.44,395020,137
852020,5836550,43.54,395020,138
852025,5836550,43.65,395020,139
852030,5836550,43.76,395020,140
852035,5836550,43.78,395020,141
852040,5836550,43.71,395020,142
852045,5836550,43.6,395020,143
851960,5836545,43.14,395020,144
851965,5836545,43.19,395020,145
851970,5836545,43.21,395020,146
851975,5836545,43.23,395020,147
851980,5836545,43.23,395020,148
851985,5836545,43.2,395020,149
851990,5836545,43.2,395020,150
851995,5836545,43.2,395020,151
852000,5836545,43.23,395020,152
852005,5836545,43.26,395020,153
852010,5836545,43.34,395020,154
852015,5836545,43.48,395020,155
852020,5836545,43.63,395020,156
852025,5836545,43.77,395020,157
852030,5836545,43.89,395020,158
852035,5836545,44.03,395020,159
852040,5836545,44.04,395020,160
852045,5836545,43.87,395020,161
851960,5836540,43.18,395020,162
851965,5836540,43.2,395020,163
851970,5836540,43.22,395020,164
851975,5836540,43.23,395020,165
851980,5836540,43.25,395020,166
851985,5836540,43.24,395020,167
851990,5836540,43.18,395020,168
851995,5836540,43.15,395020,169
852000,5836540,43.2,395020,170
852005,5836540,43.26,395020,171
852010,5836540,43.34,395020,172
852015,5836540,43.53,395020,173
852020,5836540,43.7,395020,174
852025,5836540,43.87,395020,175
852030,5836540,44.1,395020,176
852035,5836540,44.28,395020,177
852040,5836540,44.31,395020,178
852045,5836540,44.18,395020,179
851850,5836535,43.03,395020,180
851855,5836535,42.97,395020,181
851955,5836535,43.18,395020,182
851960,5836535,43.28,395020,183
851965,5836535,43.33,395020,184
851970,5836535,43.34,395020,185
851975,5836535,43.34,395020,186
851980,5836535,43.33,395020,187
851985,5836535,43.25,395020,188
851990,5836535,43.23,395020,189
851995,5836535,43.19,395020,190
852000,5836535,43.21,395020,191
852005,5836535,43.35,395020,192
852010,5836535,43.46,395020,193
852015,5836535,43.66,395020,194
852020,5836535,43.89,395020,195
852025,5836535,44.11,395020,196
852030,5836535,44.3,395020,197
852035,5836535,44.45,395020,198
852040,5836535,44.52,395020,199
852045,5836535,44.47,395020,200
851840,5836530,43.24,395020,201
851845,5836530,43.11,395020,202
851850,5836530,43.01,395020,203
851855,5836530,43.03,395020,204
851955,5836530,43.31,395020,205
851960,5836530,43.4,395020,206
851965,5836530,43.38,395020,207
851970,5836530,43.35,395020,208
851975,5836530,43.38,395020,209
851980,5836530,43.32,395020,210
851985,5836530,43.26,395020,211
851990,5836530,43.23,395020,212
851995,5836530,43.24,395020,213
852000,5836530,43.29,395020,214
852005,5836530,43.37,395020,215
852010,5836530,43.53,395020,216
852015,5836530,43.73,395020,217
852020,5836530,43.95,395020,218
852025,5836530,44.17,395020,219
852030,5836530,44.36,395020,220
852035,5836530,44.58,395020,221
852040,5836530,44.73,395020,222
852045,5836530,44.72,395020,223
851825,5836525,43.17,395020,224
851830,5836525,43.17,395020,225
851835,5836525,43.15,395020,226
851840,5836525,43.13,395020,227
851845,5836525,43.08,395020,228
851850,5836525,42.88,395020,229
851855,5836525,42.85,395020,230
851955,5836525,43.43,395020,231
851960,5836525,43.48,395020,232
851965,5836525,43.5,395020,233
851970,5836525,43.47,395020,234
851975,5836525,43.47,395020,235
851980,5836525,43.43,395020,236
851985,5836525,43.37,395020,237
851990,5836525,43.28,395020,238
851995,5836525,43.24,395020,239
852000,5836525,43.28,395020,240
852005,5836525,43.32,395020,241
852010,5836525,43.47,395020,242
852015,5836525,43.66,395020,243
852020,5836525,43.89,395020,244
852025,5836525,44.15,395020,245
852030,5836525,44.39,395020,246
852035,5836525,44.62,395020,247
852040,5836525,44.84,395020,248
852045,5836525,44.88,395020,249
851805,5836520,43.21,395020,250
851810,5836520,43.15,395020,251
851815,5836520,43.12,395020,252
851820,5836520,43.12,395020,253
851825,5836520,43.13,395020,254
851830,5836520,43.13,395020,255
851835,5836520,43.11,395020,256
851840,5836520,43.05,395020,257
851845,5836520,42.97,395020,258
851850,5836520,42.86,395020,259
851955,5836520,43.51,395020,260
851960,5836520,43.57,395020,261
851965,5836520,43.6,395020,262
851970,5836520,43.57,395020,263
851975,5836520,43.55,395020,264
851980,5836520,43.48,395020,265
851985,5836520,43.4,395020,266
851990,5836520,43.41,395020,267
851995,5836520,43.34,395020,268
852000,5836520,43.33,395020,269
852005,5836520,43.31,395020,270
852010,5836520,43.44,395020,271
852015,5836520,43.6,395020,272
852020,5836520,43.76,395020,273
852025,5836520,44.08,395020,274
852030,5836520,44.39,395020,275
852035,5836520,44.63,395020,276
852040,5836520,44.87,395020,277
852045,5836520,44.9,395020,278
851785,5836515,43.72,395012,279
851790,5836515,43.69,395012,280
851795,5836515,43.5,395012,281
851800,5836515,43.35,395012,282
851805,5836515,43.3,395020,283
851810,5836515,43.2,395020,284
851815,5836515,43.21,395020,285
851820,5836515,43.12,395020,286
851825,5836515,43.11,395020,287
851830,5836515,43.07,395020,288
851835,5836515,43.02,395020,289
851840,5836515,42.98,395020,290
851845,5836515,42.91,395020,291
851850,5836515,42.84,395020,292
851950,5836515,43.48,395020,293
851955,5836515,43.56,395020,294
851960,5836515,43.57,395020,295
851965,5836515,43.59,395020,296
851970,5836515,43.62,395020,297
851975,5836515,43.57,395020,298
851980,5836515,43.55,395020,299
851985,5836515,43.52,395020,300
851990,5836515,43.48,395020,301
851995,5836515,43.43,395020,302
852000,5836515,43.36,395020,303
852005,5836515,43.33,395020,304
852010,5836515,43.38,395020,305
852015,5836515,43.51,395020,306
852020,5836515,43.66,395020,307
852025,5836515,43.98,395020,308
852030,5836515,44.29,395020,309
852035,5836515,44.55,395020,310
852040,5836515,44.89,395020,311
852045,5836515,44.94,395020,312
851775,5836510,43.66,395012,313
851780,5836510,43.71,395012,314
851785,5836510,43.72,395012,315
851790,5836510,43.66,395012,316
851795,5836510,43.51,395012,317
851800,5836510,43.38,395012,318
851805,5836510,43.29,395020,319
851810,5836510,43.23,395020,320
851815,5836510,43.2,395020,321
851820,5836510,43.14,395020,322
851825,5836510,43.14,395020,323
851830,5836510,43.05,395020,324
851835,5836510,43.03,395020,325
851840,5836510,42.95,395020,326
851845,5836510,42.88,395020,327
851850,5836510,42.81,395020,328
851950,5836510,43.46,395020,329
851955,5836510,43.55,395020,330
851960,5836510,43.6,395020,331
851965,5836510,43.62,395020,332
851970,5836510,43.64,395020,333
851975,5836510,43.64,395020,334
851980,5836510,43.61,395020,335
851985,5836510,43.54,395020,336
851990,5836510,43.48,395020,337
851995,5836510,43.41,395020,338
852000,5836510,43.35,395020,339
852005,5836510,43.34,395020,340
852010,5836510,43.34,395020,341
852015,5836510,43.43,395020,342
852020,5836510,43.62,395020,343
852025,5836510,43.9,395020,344
852030,5836510,44.15,395020,345
852035,5836510,44.48,395020,346
852040,5836510,44.8,395020,347
852045,5836510,44.95,395020,348
851765,5836505,43.33,395012,349
851770,5836505,43.47,395012,350
851775,5836505,43.6,395012,351
851780,5836505,43.65,395012,352
851785,5836505,43.76,395012,353
851790,5836505,43.77,395012,354
851795,5836505,43.73,395012,355
851800,5836505,43.63,395012,356
851805,5836505,43.55,395020,357
851810,5836505,43.44,395020,358
851815,5836505,43.35,395020,359
851820,5836505,43.28,395020,360
851825,5836505,43.22,395020,361
851830,5836505,43.13,395020,362
851835,5836505,43.09,395020,363
851840,5836505,43.02,395020,364
851845,5836505,42.89,395020,365
851850,5836505,42.82,395020,366
851945,5836505,43.45,395020,367
851950,5836505,43.45,395020,368
851955,5836505,43.53,395020,369
851960,5836505,43.6,395020,370
851965,5836505,43.63,395020,371
851970,5836505,43.62,395020,372
851975,5836505,43.63,395020,373
851980,5836505,43.6,395020,374
851985,5836505,43.57,395020,375
851990,5836505,43.51,395020,376
851995,5836505,43.46,395020,377
852000,5836505,43.4,395020,378
852005,5836505,43.34,395020,379
852010,5836505,43.31,395020,380
852015,5836505,43.35,395020,381
852020,5836505,43.55,395020,382
852025,5836505,43.8,395020,383
852030,5836505,44.11,395020,384
852035,5836505,44.39,395020,385
852040,5836505,44.79,395020,386
852045,5836505,44.95,395020,387
851760,5836500,43.4,395012,388
851765,5836500,43.42,395012,389
851770,5836500,43.52,395012,390
851775,5836500,43.64,395012,391
851780,5836500,43.69,395012,392
851785,5836500,43.72,395012,393
851790,5836500,43.75,395012,394
851795,5836500,43.74,395012,395
851800,5836500,43.65,395012,396
851805,5836500,43.6,395012,397
851810,5836500,43.53,395012,398
851815,5836500,43.43,395012,399
851820,5836500,43.36,395012,400
851825,5836500,43.27,395012,401
851830,5836500,43.22,395012,402
851835,5836500,43.13,395012,403
851840,5836500,43.05,395012,404
851845,5836500,42.98,395012,405
851850,5836500,42.91,395012,406
851935,5836500,43.22,395012,407
851940,5836500,43.34,395012,408
