Field_name,Field_Profile_number,Horizon_number,Depth,Easting,Northing,CLAY,SILT,SAND,SOC,BD,Upper_depth,Lower_depth,Thickness,KA5
Hermes,1,1,0-30,445149.6798,5823980.92,2.902569413,7.393448191,89.7039824,1.09,1.5,0,30,30,Ss
Hermes,1,2,30-60,445149.6798,5823980.92,2.084520532,7.489695383,90.42578408,0.96,1.7,30,60,30,Ss
Hermes,1,3,60-90,445149.6798,5823980.92,0.777997954,11.65363067,87.56837138,0.24,1.7,60,90,30,Su2
Hermes,1,4,60-90,445149.6798,5823980.92,0.777997954,11.65363067,87.56837138,0.24,1.7,90,200,110,Su2
Hermes,2,1,0-30,445179.3388,5823977.12,2.369694996,9.581716894,88.04858811,0.81,1.5,0,30,30,Ss
Hermes,2,2,30-60,445179.3388,5823977.12,3.491695576,12.73152502,83.77677941,1.14,1.7,30,60,30,Su2
Hermes,2,3,60-90,445179.3388,5823977.12,2.048505818,6.379981059,91.57151312,0.28,1.7,60,90,30,Ss
Hermes,2,4,60-90,445179.3388,5823977.12,2.048505818,6.379981059,91.57151312,0.28,1.7,90,200,110,Ss
Hermes,3,1,0-30,445209.3076,5823973.02,2.363658566,9.06075391,88.57558752,0.72,1.5,0,30,30,Ss
Hermes,3,2,30-60,445209.3076,5823973.02,3.723876758,20.48889415,75.78722909,0.14,1.7,30,60,30,Su2
Hermes,3,3,60-90,445209.3076,5823973.02,5.303481097,14.6958378,80.00068111,0.04,1.7,60,90,30,Sl2
Hermes,3,4,60-90,445209.3076,5823973.02,5.303481097,14.6958378,80.00068111,0.04,1.7,90,200,110,Sl2
Hermes,4,1,0-30,445239.1042,5823968.98,3.504421795,12.7477032,83.747875,0.61,1.5,0,30,30,Su2
Hermes,4,2,30-60,445239.1042,5823968.98,2.909838182,16.86606776,80.22409406,0.28,1.7,30,60,30,Su2
Hermes,4,3,60-90,445239.1042,5823968.98,2.692192002,24.98371992,72.32408808,0.2,1.7,60,90,30,Su2
Hermes,4,4,60-90,445239.1042,5823968.98,2.692192002,24.98371992,72.32408808,0.2,1.7,90,200,110,Su2
Hermes,5,1,0-30,445268.861,5823965.2,6.752169451,19.26593672,73.98189383,0.75,1.5,0,30,30,Sl2
Hermes,5,2,30-60,445268.861,5823965.2,8.332109951,23.34444757,68.32344248,0.07,1.7,30,60,30,Sl3
Hermes,5,3,60-90,445268.861,5823965.2,9.625424938,30.85738117,59.5171939,0.08,1.7,60,90,30,Sl3
Hermes,5,4,60-90,445268.861,5823965.2,9.625424938,30.85738117,59.5171939,0.08,1.7,90,200,110,Sl3
Hermes,6,1,0-30,445298.6796,5823961.19,2.271202248,10.7873251,86.94147265,0.5,1.5,0,30,30,Su2
Hermes,6,2,30-60,445298.6796,5823961.19,0.950054831,9.997345913,89.05259926,0.08,1.7,30,60,30,Ss
Hermes,6,3,60-90,445298.6796,5823961.19,6.077900599,14.64390073,79.27819867,0.08,1.7,60,90,30,Sl2
Hermes,6,4,60-90,445298.6796,5823961.19,6.077900599,14.64390073,79.27819867,0.08,1.7,90,200,110,Sl2
Hermes,7,1,0-30,445328.4439,5823957.15,1.246499183,15.21669923,83.53680159,0.59,1.5,0,30,30,Su2
Hermes,7,2,30-60,445328.4439,5823957.15,3.003353483,13.48999287,83.50665364,0.24,1.7,30,60,30,Su2
Hermes,7,3,60-90,445328.4439,5823957.15,2.857845678,18.76782355,78.37433077,0.12,1.7,60,90,30,Su2
Hermes,7,4,60-90,445328.4439,5823957.15,2.857845678,18.76782355,78.37433077,0.12,1.7,90,200,110,Su2
Hermes,8,1,0-30,445358.2769,5823953.09,3.557321646,14.08045821,82.36222015,0.73,1.5,0,30,30,Su2
Hermes,8,2,30-60,445358.2769,5823953.09,2.269228945,14.32843952,83.40233154,0.14,1.7,30,60,30,Su2
Hermes,8,3,60-90,445358.2769,5823953.09,9.884451906,18.31265075,71.80289735,0.11,1.7,60,90,30,Sl3
Hermes,8,4,60-90,445358.2769,5823953.09,9.884451906,18.31265075,71.80289735,0.11,1.7,90,200,110,Sl3
Hermes,9,1,0-30,445388.1123,5823949.22,3.727587508,13.38533468,82.88707781,0.71,1.5,0,30,30,Su2
Hermes,9,2,30-60,445388.1123,5823949.22,2.305733229,12.18929328,85.50497349,0.29,1.7,30,60,30,Su2
Hermes,9,3,60-90,445388.1123,5823949.22,2.991885547,12.02360067,84.98451379,0.07,1.7,60,90,30,Su2
Hermes,9,4,60-90,445388.1123,5823949.22,2.991885547,12.02360067,84.98451379,0.07,1.7,90,200,110,Su2
Hermes,10,1,0-30,445417.9283,5823945.36,4.237400854,10.42556122,85.33703793,0.69,1.5,0,30,30,Su2
Hermes,10,2,30-60,445417.9283,5823945.36,2.899416098,8.21572102,88.88486288,0.31,1.7,30,60,30,Ss
Hermes,10,3,60-90,445417.9283,5823945.36,4.696522745,9.326537357,85.9769399,0.07,1.7,60,90,30,Ss
Hermes,10,4,60-90,445417.9283,5823945.36,4.696522745,9.326537357,85.9769399,0.07,1.7,90,200,110,Ss
Hermes,11,1,0-30,445146.3874,5823960.45,1.051141107,5.938784024,93.01007487,0.52,1.5,0,30,30,Ss
Hermes,11,2,30-60,445146.3874,5823960.45,0.352679649,5.872539434,93.77478092,0.09,1.7,30,60,30,Ss
Hermes,11,3,60-90,445146.3874,5823960.45,0.73975211,15.82416737,83.43608052,0.04,1.7,60,90,30,Su2
Hermes,11,4,60-90,445146.3874,5823960.45,0.73975211,15.82416737,83.43608052,0.04,1.7,90,200,110,Su2
Hermes,12,1,0-30,445176.0463,5823956.64,1.271635274,6.324732642,92.40363208,0.72,1.5,0,30,30,Ss
Hermes,12,2,30-60,445176.0463,5823956.64,0.770410767,5.448401781,93.78118745,0.14,1.7,30,60,30,Ss
Hermes,12,3,60-90,445176.0463,5823956.64,0.29121397,4.628298831,95.0804872,0.04,1.7,60,90,30,Ss
Hermes,12,4,60-90,445176.0463,5823956.64,0.29121397,4.628298831,95.0804872,0.04,1.7,90,200,110,Ss
Hermes,13,1,0-30,445206.0152,5823952.54,2.816670736,8.935374709,88.24795456,0.82,1.5,0,30,30,Ss
Hermes,13,2,30-60,445206.0152,5823952.54,4.22847386,12.36326723,83.40825891,0.21,1.7,30,60,30,Su2
Hermes,13,3,60-90,445206.0152,5823952.54,7.194981441,8.562126526,84.24289203,0.08,1.7,60,90,30,St2
Hermes,13,4,60-90,445206.0152,5823952.54,7.194981441,8.562126526,84.24289203,0.08,1.7,90,200,110,St2
Hermes,14,1,0-30,445235.8118,5823948.5,4.000426188,13.85357362,82.14600019,0.82,1.5,0,30,30,Su2
Hermes,14,2,30-60,445235.8118,5823948.5,2.789968421,16.71592188,80.4941097,0.26,1.7,30,60,30,Su2
Hermes,14,3,60-90,445235.8118,5823948.5,3.588820171,22.4022324,74.00894743,0.1,1.7,60,90,30,Su2
Hermes,14,4,60-90,445235.8118,5823948.5,3.588820171,22.4022324,74.00894743,0.1,1.7,90,200,110,Su2
Hermes,15,1,0-30,445265.5686,5823944.72,2.658010398,17.87089839,79.47109122,0.66,1.5,0,30,30,Su2
Hermes,15,2,30-60,445265.5686,5823944.72,8.807613145,27.17769943,64.01468743,0.19,1.7,30,60,30,Sl3
Hermes,15,3,60-90,445265.5686,5823944.72,6.247309802,27.12367462,66.62901558,0.09,1.7,60,90,30,Su3
Hermes,15,4,60-90,445265.5686,5823944.72,6.247309802,27.12367462,66.62901558,0.09,1.7,90,200,110,Su3
Hermes,16,1,0-30,445295.3872,5823940.71,5.459420071,13.56911601,80.97146392,0.76,1.5,0,30,30,Sl2
Hermes,16,2,30-60,445295.3872,5823940.71,13.65203534,28.30947886,58.0384858,0.18,1.7,30,60,30,Sl4
Hermes,16,3,60-90,445295.3872,5823940.71,10.15928602,31.10926885,58.73144514,0.09,1.7,60,90,30,Sl3
Hermes,16,4,60-90,445295.3872,5823940.71,10.15928602,31.10926885,58.73144514,0.09,1.7,90,200,110,Sl3
Hermes,17,1,0-30,445325.1515,5823936.67,2.044279102,14.38813298,83.56758792,0.67,1.5,0,30,30,Su2
Hermes,17,2,30-60,445325.1515,5823936.67,1.364362382,6.70055133,91.93508629,0.25,1.7,30,60,30,Ss
Hermes,17,3,60-90,445325.1515,5823936.67,3.132196146,11.90500254,84.96280131,0.05,1.7,60,90,30,Su2
Hermes,17,4,60-90,445325.1515,5823936.67,3.132196146,11.90500254,84.96280131,0.05,1.7,90,200,110,Su2
Hermes,18,1,0-30,445354.9845,5823932.61,1.853803862,12.55703072,85.58916542,0.76,1.5,0,30,30,Su2
Hermes,18,2,30-60,445354.9845,5823932.61,1.489483309,11.48281586,87.02770083,0.16,1.7,30,60,30,Su2
Hermes,18,3,60-90,445354.9845,5823932.61,1.336375296,11.43354831,87.2300764,0.08,1.7,60,90,30,Su2
Hermes,18,4,60-90,445354.9845,5823932.61,1.336375296,11.43354831,87.2300764,0.08,1.7,90,200,110,Su2
Hermes,19,1,0-30,445384.8198,5823928.75,3.231924297,12.51070171,84.257374,0.71,1.5,0,30,30,Su2
Hermes,19,2,30-60,445384.8198,5823928.75,2.614338693,11.39467939,85.99098191,0.26,1.7,30,60,30,Su2
Hermes,19,3,60-90,445384.8198,5823928.75,8.714967193,23.25712972,68.02790309,0.11,1.7,60,90,30,Sl3
Hermes,19,4,60-90,445384.8198,5823928.75,8.714967193,23.25712972,68.02790309,0.11,1.7,90,200,110,Sl3
Hermes,20,1,0-30,445414.6359,5823924.88,2.683135245,12.27424061,85.04262415,0.58,1.5,0,30,30,Su2
Hermes,20,2,30-60,445414.6359,5823924.88,6.148057348,13.84262943,80.00931322,0.17,1.7,30,60,30,Sl2
Hermes,20,3,60-90,445414.6359,5823924.88,7.243433264,13.35440517,79.40216157,0.07,1.7,60,90,30,Sl2
Hermes,20,4,60-90,445414.6359,5823924.88,7.243433264,13.35440517,79.40216157,0.07,1.7,90,200,110,Sl2
Hermes,21,1,0-30,445143.1234,5823939.87,1.673746213,4.656043098,93.67021069,0.79,1.5,0,30,30,Ss
Hermes,21,2,30-60,445143.1234,5823939.87,1.359266965,4.297903402,94.34282963,0.27,1.7,30,60,30,Ss
Hermes,21,3,60-90,445143.1234,5823939.87,3.203874634,7.064326101,89.73179927,0.08,1.7,60,90,30,Ss
Hermes,21,4,60-90,445143.1234,5823939.87,3.203874634,7.064326101,89.73179927,0.08,1.7,90,200,110,Ss
Hermes,22,1,0-30,445172.7824,5823936.06,2.352513421,5.269098765,92.37838781,0.8,1.5,0,30,30,Ss
Hermes,22,2,30-60,445172.7824,5823936.06,2.363553039,5.100185485,92.53626148,0.3,1.7,30,60,30,Ss
Hermes,22,3,60-90,445172.7824,5823936.06,1.713909768,9.44846031,88.83762992,0.06,1.7,60,90,30,Ss
Hermes,22,4,60-90,445172.7824,5823936.06,1.713909768,9.44846031,88.83762992,0.06,1.7,90,200,110,Ss
Hermes,23,1,0-30,445202.7512,5823931.96,1.211389921,13.40726297,85.38134711,0.74,1.5,0,30,30,Su2
Hermes,23,2,30-60,445202.7512,5823931.96,5.522273183,25.00444408,69.47328274,0.28,1.7,30,60,30,Su3
Hermes,23,3,60-90,445202.7512,5823931.96,17.9602303,25.80735624,56.23241346,0.13,1.7,60,90,30,Ls4
Hermes,23,4,60-90,445202.7512,5823931.96,17.9602303,25.80735624,56.23241346,0.13,1.7,90,200,110,Ls4
Hermes,24,1,0-30,445232.5478,5823927.93,3.751719005,17.06718083,79.18110017,0.73,1.5,0,30,30,Su2
Hermes,24,2,30-60,445232.5478,5823927.93,8.770756035,28.87647624,62.35276772,0.22,1.7,30,60,30,Sl3
Hermes,24,3,60-90,445232.5478,5823927.93,10.62209859,35.06053622,54.3173652,0.09,1.7,60,90,30,Sl3
Hermes,24,4,60-90,445232.5478,5823927.93,10.62209859,35.06053622,54.3173652,0.09,1.7,90,200,110,Sl3
Hermes,25,1,0-30,445262.3046,5823924.15,2.789712994,11.69000853,85.52027848,0.82,1.5,0,30,30,Su2
Hermes,25,2,30-60,445262.3046,5823924.15,2.579788835,12.61519047,84.8050207,0.14,1.7,30,60,30,Su2
Hermes,25,3,60-90,445262.3046,5823924.15,1.68919122,10.36976812,87.94104066,0.05,1.7,60,90,30,Su2
Hermes,25,4,60-90,445262.3046,5823924.15,1.68919122,10.36976812,87.94104066,0.05,1.7,90,200,110,Su2
Hermes,26,1,0-30,445292.1233,5823920.13,1.643026991,12.38299444,85.97397857,0.49,1.5,0,30,30,Su2
Hermes,26,2,30-60,445292.1233,5823920.13,2.256050769,12.74163861,85.00231062,0.12,1.7,30,60,30,Su2
Hermes,26,3,60-90,445292.1233,5823920.13,0.612886933,14.20397885,85.18313422,0.04,1.7,60,90,30,Su2
Hermes,26,4,60-90,445292.1233,5823920.13,0.612886933,14.20397885,85.18313422,0.04,1.7,90,200,110,Su2
Hermes,27,1,0-30,445321.8876,5823916.1,2.898468295,11.67845838,85.42307333,0.52,1.5,0,30,30,Su2
Hermes,27,2,30-60,445321.8876,5823916.1,1.691707586,10.90495518,87.40333724,0.18,1.7,30,60,30,Su2
Hermes,27,3,60-90,445321.8876,5823916.1,4.274688587,13.14893426,82.57637715,0.08,1.7,60,90,30,Su2
Hermes,27,4,60-90,445321.8876,5823916.1,4.274688587,13.14893426,82.57637715,0.08,1.7,90,200,110,Su2
Hermes,28,1,0-30,445351.7205,5823912.03,3.34373899,15.83093631,80.8253247,0.61,1.5,0,30,30,Su2
Hermes,28,2,30-60,445351.7205,5823912.03,10.38371542,21.42242134,68.19386324,0.22,1.7,30,60,30,Sl3
Hermes,28,3,60-90,445351.7205,5823912.03,10.87238824,27.78300703,61.34460473,0.09,1.7,60,90,30,Sl3
Hermes,28,4,60-90,445351.7205,5823912.03,10.87238824,27.78300703,61.34460473,0.09,1.7,90,200,110,Sl3
Hermes,29,1,0-30,445381.5559,5823908.17,4.195319751,16.13623377,79.66844648,0.65,1.5,0,30,30,Su2
Hermes,29,2,30-60,445381.5559,5823908.17,3.946195388,21.32410222,74.7297024,0.24,1.7,30,60,30,Su2
Hermes,29,3,60-90,445381.5559,5823908.17,7.632055359,24.37730867,67.99063597,0.14,1.7,60,90,30,Sl2
Hermes,29,4,60-90,445381.5559,5823908.17,7.632055359,24.37730867,67.99063597,0.14,1.7,90,200,110,Sl2
Hermes,30,1,0-30,445411.3719,5823904.31,4.210173359,15.94423108,79.84559556,0.11,1.5,0,30,30,Su2
Hermes,30,2,30-60,445411.3719,5823904.31,5.519976279,15.52527987,78.95474385,0.22,1.7,30,60,30,Sl2
Hermes,30,3,60-90,445411.3719,5823904.31,9.11625892,34.4887913,56.39494978,0.11,1.7,60,90,30,Sl3
Hermes,30,4,60-90,445411.3719,5823904.31,9.11625892,34.4887913,56.39494978,0.11,1.7,90,200,110,Sl3
Hermes,31,1,0-30,445149.1502,5823978.11,2.902569413,7.393448191,89.7039824,1.09,1.5,0,30,30,Ss
Hermes,31,2,30-60,445149.1502,5823978.11,2.084520532,7.489695383,90.42578408,0.96,1.7,30,60,30,Ss
Hermes,31,3,60-90,445149.1502,5823978.11,0.777997954,11.65363067,87.56837138,0.24,1.7,60,90,30,Su2
Hermes,31,4,60-90,445149.1502,5823978.11,0.777997954,11.65363067,87.56837138,0.24,1.7,90,200,110,Su2
Hermes,32,1,0-30,445178.8091,5823974.3,2.369694996,9.581716894,88.04858811,0.81,1.5,0,30,30,Ss
Hermes,32,2,30-60,445178.8091,5823974.3,3.491695576,12.73152502,83.77677941,1.14,1.7,30,60,30,Su2
Hermes,32,3,60-90,445178.8091,5823974.3,2.048505818,6.379981059,91.57151312,0.28,1.7,60,90,30,Ss
Hermes,32,4,60-90,445178.8091,5823974.3,2.048505818,6.379981059,91.57151312,0.28,1.7,90,200,110,Ss
Hermes,33,1,0-30,445208.778,5823970.21,2.363658566,9.06075391,88.57558752,0.72,1.5,0,30,30,Ss
Hermes,33,2,30-60,445208.778,5823970.21,3.723876758,20.48889415,75.78722909,0.14,1.7,30,60,30,Su2
Hermes,33,3,60-90,445208.778,5823970.21,5.303481097,14.6958378,80.00068111,0.04,1.7,60,90,30,Sl2
Hermes,33,4,60-90,445208.778,5823970.21,5.303481097,14.6958378,80.00068111,0.04,1.7,90,200,110,Sl2
Hermes,34,1,0-30,445238.5746,5823966.17,3.504421795,12.7477032,83.747875,0.61,1.5,0,30,30,Su2
Hermes,34,2,30-60,445238.5746,5823966.17,2.909838182,16.86606776,80.22409406,0.28,1.7,30,60,30,Su2
Hermes,34,3,60-90,445238.5746,5823966.17,2.692192002,24.98371992,72.32408808,0.2,1.7,60,90,30,Su2
Hermes,34,4,60-90,445238.5746,5823966.17,2.692192002,24.98371992,72.32408808,0.2,1.7,90,200,110,Su2
