x,y,DEM,Soil,Multiplier,id
851965,5836560,43.16,395020,1.23354,1
851970,5836560,43.16,395020,1.23354,2
851975,5836560,43.14,395020,1.23741,3
851980,5836560,43.12,395020,1.24128,4
851985,5836560,43.15,395020,1.235475,5
851990,5836560,43.17,395020,1.231605,6
851995,5836560,43.18,395020,1.22967,7
852000,5836560,43.17,395020,1.231605,8
852005,5836560,43.17,395020,1.231605,9
852010,5836560,43.21,395020,1.223865,10
852015,5836560,43.22,395020,1.22193,11
852020,5836560,43.31,395020,1.204515,12
852025,5836560,43.39,395020,1.189035,13
852030,5836560,43.48,395020,1.17162,14
852035,5836560,43.52,395020,1.16388,15
852040,5836560,43.4,395020,1.1871,16
852045,5836560,43.3,395020,1.20645,17
851960,5836555,43.13,395020,1.239345,18
851965,5836555,43.19,395020,1.227735,19
851970,5836555,43.19,395020,1.227735,20
851975,5836555,43.2,395020,1.2258,21
851980,5836555,43.2,395020,1.2258,22
851985,5836555,43.19,395020,1.227735,23
851990,5836555,43.18,395020,1.22967,24
851995,5836555,43.18,395020,1.22967,25
852000,5836555,43.19,395020,1.227735,26
852005,5836555,43.19,395020,1.227735,27
852010,5836555,43.23,395020,1.219995,28
852015,5836555,43.32,395020,1.20258,29
852020,5836555,43.4,395020,1.1871,30
852025,5836555,43.53,395020,1.161945,31
852030,5836555,43.63,395020,1.142595,32
852035,5836555,43.62,395020,1.14453,33
852040,5836555,43.56,395020,1.15614,34
852045,5836555,43.5,395020,1.16775,35
851960,5836550,43.15,395020,1.235475,36
851965,5836550,43.22,395020,1.22193,37
851970,5836550,43.23,395020,1.219995,38
851975,5836550,43.21,395020,1.223865,39
851980,5836550,43.21,395020,1.223865,40
851985,5836550,43.24,395020,1.21806,41
851990,5836550,43.25,395020,1.216125,42
851995,5836550,43.26,395020,1.21419,43
852000,5836550,43.24,395020,1.21806,44
852005,5836550,43.24,395020,1.21806,45
852010,5836550,43.31,395020,1.204515,46
852015,5836550,43.44,395020,1.17936,47
852020,5836550,43.54,395020,1.16001,48
852025,5836550,43.65,395020,1.138725,49
852030,5836550,43.76,395020,1.11744,50
852035,5836550,43.78,395020,1.11357,51
852040,5836550,43.71,395020,1.127115,52
852045,5836550,43.6,395020,1.1484,53
851960,5836545,43.14,395020,1.23741,54
851965,5836545,43.19,395020,1.227735,55
851970,5836545,43.21,395020,1.223865,56
851975,5836545,43.23,395020,1.219995,57
851980,5836545,43.23,395020,1.219995,58
851985,5836545,43.2,395020,1.2258,59
851990,5836545,43.2,395020,1.2258,60
851995,5836545,43.2,395020,1.2258,61
852000,5836545,43.23,395020,1.219995,62
852005,5836545,43.26,395020,1.21419,63
852010,5836545,43.34,395020,1.19871,64
852015,5836545,43.48,395020,1.17162,65
852020,5836545,43.63,395020,1.142595,66
852025,5836545,43.77,395020,1.115505,67
852030,5836545,43.89,395020,1.092285,68
852035,5836545,44.03,395020,1.065195,69
852040,5836545,44.04,395020,1.06326,70
852045,5836545,43.87,395020,1.096155,71
851960,5836540,43.18,395020,1.22967,72
851965,5836540,43.2,395020,1.2258,73
851970,5836540,43.22,395020,1.22193,74
851975,5836540,43.23,395020,1.219995,75
851980,5836540,43.25,395020,1.216125,76
851985,5836540,43.24,395020,1.21806,77
851990,5836540,43.18,395020,1.22967,78
851995,5836540,43.15,395020,1.235475,79
852000,5836540,43.2,395020,1.2258,80
852005,5836540,43.26,395020,1.21419,81
852010,5836540,43.34,395020,1.19871,82
852015,5836540,43.53,395020,1.161945,83
852020,5836540,43.7,395020,1.12905,84
852025,5836540,43.87,395020,1.096155,85
852030,5836540,44.1,395020,1.05165,86
852035,5836540,44.28,395020,1.01682,87
852040,5836540,44.31,395020,1.011015,88
852045,5836540,44.18,395020,1.03617,89
851850,5836535,43.03,395020,1.258695,90
851855,5836535,42.97,395020,1.270305,91
851955,5836535,43.18,395020,1.22967,92
851960,5836535,43.28,395020,1.21032,93
851965,5836535,43.33,395020,1.200645,94
851970,5836535,43.34,395020,1.19871,95
851975,5836535,43.34,395020,1.19871,96
851980,5836535,43.33,395020,1.200645,97
851985,5836535,43.25,395020,1.216125,98
851990,5836535,43.23,395020,1.219995,99
851995,5836535,43.19,395020,1.227735,100
852000,5836535,43.21,395020,1.223865,101
852005,5836535,43.35,395020,1.196775,102
852010,5836535,43.46,395020,1.17549,103
852015,5836535,43.66,395020,1.13679,104
852020,5836535,43.89,395020,1.092285,105
852025,5836535,44.11,395020,1.049715,106
852030,5836535,44.3,395020,1.01295,107
852035,5836535,44.45,395020,0.983925,108
852040,5836535,44.52,395020,0.97038,109
852045,5836535,44.47,395020,0.980055,110
851840,5836530,43.24,395020,1.21806,111
851845,5836530,43.11,395020,1.243215,112
851850,5836530,43.01,395020,1.262565,113
851855,5836530,43.03,395020,1.258695,114
851955,5836530,43.31,395020,1.204515,115
851960,5836530,43.4,395020,1.1871,116
851965,5836530,43.38,395020,1.19097,117
851970,5836530,43.35,395020,1.196775,118
851975,5836530,43.38,395020,1.19097,119
851980,5836530,43.32,395020,1.20258,120
851985,5836530,43.26,395020,1.21419,121
851990,5836530,43.23,395020,1.219995,122
851995,5836530,43.24,395020,1.21806,123
852000,5836530,43.29,395020,1.208385,124
852005,5836530,43.37,395020,1.192905,125
852010,5836530,43.53,395020,1.161945,126
852015,5836530,43.73,395020,1.123245,127
852020,5836530,43.95,395020,1.080675,128
852025,5836530,44.17,395020,1.038105,129
852030,5836530,44.36,395020,1.00134,130
852035,5836530,44.58,395020,0.95877,131
852040,5836530,44.73,395020,0.929745,132
852045,5836530,44.72,395020,0.93168,133
851825,5836525,43.17,395020,1.231605,134
851830,5836525,43.17,395020,1.231605,135
851835,5836525,43.15,395020,1.235475,136
851840,5836525,43.13,395020,1.239345,137
851845,5836525,43.08,395020,1.24902,138
851850,5836525,42.88,395020,1.28772,139
851855,5836525,42.85,395020,1.293525,140
851955,5836525,43.43,395020,1.181295,141
851960,5836525,43.48,395020,1.17162,142
851965,5836525,43.5,395020,1.16775,143
851970,5836525,43.47,395020,1.173555,144
851975,5836525,43.47,395020,1.173555,145
851980,5836525,43.43,395020,1.181295,146
851985,5836525,43.37,395020,1.192905,147
851990,5836525,43.28,395020,1.21032,148
851995,5836525,43.24,395020,1.21806,149
852000,5836525,43.28,395020,1.21032,150
852005,5836525,43.32,395020,1.20258,151
852010,5836525,43.47,395020,1.173555,152
852015,5836525,43.66,395020,1.13679,153
852020,5836525,43.89,395020,1.092285,154
852025,5836525,44.15,395020,1.041975,155
852030,5836525,44.39,395020,0.995535,156
852035,5836525,44.62,395020,0.95103,157
852040,5836525,44.84,395020,0.90846,158
852045,5836525,44.88,395020,0.90072,159
851805,5836520,43.21,395020,1.223865,160
851810,5836520,43.15,395020,1.235475,161
851815,5836520,43.12,395020,1.24128,162
851820,5836520,43.12,395020,1.24128,163
851825,5836520,43.13,395020,1.239345,164
851830,5836520,43.13,395020,1.239345,165
851835,5836520,43.11,395020,1.243215,166
851840,5836520,43.05,395020,1.254825,167
851845,5836520,42.97,395020,1.270305,168
851850,5836520,42.86,395020,1.29159,169
851955,5836520,43.51,395020,1.165815,170
851960,5836520,43.57,395020,1.154205,171
851965,5836520,43.6,395020,1.1484,172
851970,5836520,43.57,395020,1.154205,173
851975,5836520,43.55,395020,1.158075,174
851980,5836520,43.48,395020,1.17162,175
851985,5836520,43.4,395020,1.1871,176
851990,5836520,43.41,395020,1.185165,177
851995,5836520,43.34,395020,1.19871,178
852000,5836520,43.33,395020,1.200645,179
852005,5836520,43.31,395020,1.204515,180
852010,5836520,43.44,395020,1.17936,181
852015,5836520,43.6,395020,1.1484,182
852020,5836520,43.76,395020,1.11744,183
852025,5836520,44.08,395020,1.05552,184
852030,5836520,44.39,395020,0.995535,185
852035,5836520,44.63,395020,0.949095,186
852040,5836520,44.87,395020,0.902655,187
852045,5836520,44.9,395020,0.89685,188
851785,5836515,43.72,395012,1.12518,189
851790,5836515,43.69,395012,1.130985,190
851795,5836515,43.5,395012,1.16775,191
851800,5836515,43.35,395012,1.196775,192
851805,5836515,43.3,395020,1.20645,193
851810,5836515,43.2,395020,1.2258,194
851815,5836515,43.21,395020,1.223865,195
851820,5836515,43.12,395020,1.24128,196
851825,5836515,43.11,395020,1.243215,197
851830,5836515,43.07,395020,1.250955,198
851835,5836515,43.02,395020,1.26063,199
851840,5836515,42.98,395020,1.26837,200
851845,5836515,42.91,395020,1.281915,201
851850,5836515,42.84,395020,1.29546,202
851950,5836515,43.48,395020,1.17162,203
851955,5836515,43.56,395020,1.15614,204
851960,5836515,43.57,395020,1.154205,205
851965,5836515,43.59,395020,1.150335,206
851970,5836515,43.62,395020,1.14453,207
851975,5836515,43.57,395020,1.154205,208
851980,5836515,43.55,395020,1.158075,209
851985,5836515,43.52,395020,1.16388,210
851990,5836515,43.48,395020,1.17162,211
851995,5836515,43.43,395020,1.181295,212
852000,5836515,43.36,395020,1.19484,213
852005,5836515,43.33,395020,1.200645,214
852010,5836515,43.38,395020,1.19097,215
852015,5836515,43.51,395020,1.165815,216
852020,5836515,43.66,395020,1.13679,217
852025,5836515,43.98,395020,1.07487,218
852030,5836515,44.29,395020,1.014885,219
852035,5836515,44.55,395020,0.964575,220
852040,5836515,44.89,395020,0.898785,221
852045,5836515,44.94,395020,0.88911,222
851775,5836510,43.66,395012,1.13679,223
851780,5836510,43.71,395012,1.127115,224
851785,5836510,43.72,395012,1.12518,225
851790,5836510,43.66,395012,1.13679,226
851795,5836510,43.51,395012,1.165815,227
851800,5836510,43.38,395012,1.19097,228
851805,5836510,43.29,395020,1.208385,229
851810,5836510,43.23,395020,1.219995,230
851815,5836510,43.2,395020,1.2258,231
851820,5836510,43.14,395020,1.23741,232
851825,5836510,43.14,395020,1.23741,233
851830,5836510,43.05,395020,1.254825,234
851835,5836510,43.03,395020,1.258695,235
851840,5836510,42.95,395020,1.274175,236
851845,5836510,42.88,395020,1.28772,237
851850,5836510,42.81,395020,1.301265,238
851950,5836510,43.46,395020,1.17549,239
851955,5836510,43.55,395020,1.158075,240
851960,5836510,43.6,395020,1.1484,241
851965,5836510,43.62,395020,1.14453,242
851970,5836510,43.64,395020,1.14066,243
851975,5836510,43.64,395020,1.14066,244
851980,5836510,43.61,395020,1.146465,245
851985,5836510,43.54,395020,1.16001,246
851990,5836510,43.48,395020,1.17162,247
851995,5836510,43.41,395020,1.185165,248
852000,5836510,43.35,395020,1.196775,249
852005,5836510,43.34,395020,1.19871,250
852010,5836510,43.34,395020,1.19871,251
852015,5836510,43.43,395020,1.181295,252
852020,5836510,43.62,395020,1.14453,253
852025,5836510,43.9,395020,1.09035,254
852030,5836510,44.15,395020,1.041975,255
852035,5836510,44.48,395020,0.97812,256
852040,5836510,44.8,395020,0.9162,257
852045,5836510,44.95,395020,0.887175,258
851765,5836505,43.33,395012,1.200645,259
851770,5836505,43.47,395012,1.173555,260
851775,5836505,43.6,395012,1.1484,261
851780,5836505,43.65,395012,1.138725,262
851785,5836505,43.76,395012,1.11744,263
851790,5836505,43.77,395012,1.115505,264
851795,5836505,43.73,395012,1.123245,265
851800,5836505,43.63,395012,1.142595,266
851805,5836505,43.55,395020,1.158075,267
851810,5836505,43.44,395020,1.17936,268
851815,5836505,43.35,395020,1.196775,269
851820,5836505,43.28,395020,1.21032,270
851825,5836505,43.22,395020,1.22193,271
851830,5836505,43.13,395020,1.239345,272
851835,5836505,43.09,395020,1.247085,273
851840,5836505,43.02,395020,1.26063,274
851845,5836505,42.89,395020,1.285785,275
851850,5836505,42.82,395020,1.29933,276
851945,5836505,43.45,395020,1.177425,277
851950,5836505,43.45,395020,1.177425,278
851955,5836505,43.53,395020,1.161945,279
851960,5836505,43.6,395020,1.1484,280
851965,5836505,43.63,395020,1.142595,281
851970,5836505,43.62,395020,1.14453,282
851975,5836505,43.63,395020,1.142595,283
851980,5836505,43.6,395020,1.1484,284
851985,5836505,43.57,395020,1.154205,285
851990,5836505,43.51,395020,1.165815,286
851995,5836505,43.46,395020,1.17549,287
852000,5836505,43.4,395020,1.1871,288
852005,5836505,43.34,395020,1.19871,289
852010,5836505,43.31,395020,1.204515,290
852015,5836505,43.35,395020,1.196775,291
852020,5836505,43.55,395020,1.158075,292
852025,5836505,43.8,395020,1.1097,293
852030,5836505,44.11,395020,1.049715,294
852035,5836505,44.39,395020,0.995535,295
852040,5836505,44.79,395020,0.918135,296
852045,5836505,44.95,395020,0.887175,297
851760,5836500,43.4,395012,1.1871,298
851765,5836500,43.42,395012,1.18323,299
851770,5836500,43.52,395012,1.16388,300
851775,5836500,43.64,395012,1.14066,301
851780,5836500,43.69,395012,1.130985,302
851785,5836500,43.72,395012,1.12518,303
851790,5836500,43.75,395012,1.119375,304
851795,5836500,43.74,395012,1.12131,305
851800,5836500,43.65,395012,1.138725,306
851805,5836500,43.6,395012,1.1484,307
851810,5836500,43.53,395012,1.161945,308
851815,5836500,43.43,395012,1.181295,309
851820,5836500,43.36,395012,1.19484,310
851825,5836500,43.27,395012,1.212255,311
851830,5836500,43.22,395012,1.22193,312
851835,5836500,43.13,395012,1.239345,313
851840,5836500,43.05,395012,1.254825,314
851845,5836500,42.98,395012,1.26837,315
851850,5836500,42.91,395012,1.281915,316
851935,5836500,43.22,395012,1.22193,317
851940,5836500,43.34,395012,1.19871,318
851945,5836500,43.35,395012,1.196775,319
851950,5836500,43.43,395012,1.181295,320
851955,5836500,43.53,395012,1.161945,321
851960,5836500,43.6,395012,1.1484,322
851965,5836500,43.63,395012,1.142595,323
851970,5836500,43.69,395012,1.130985,324
851975,5836500,43.67,395012,1.134855,325
851980,5836500,43.58,395012,1.15227,326
851985,5836500,43.51,395012,1.165815,327
851990,5836500,43.47,395012,1.173555,328
851995,5836500,43.38,395012,1.19097,329
852000,5836500,43.3,395012,1.20645,330
852005,5836500,43.24,395012,1.21806,331
852010,5836500,43.22,395012,1.22193,332
852015,5836500,43.28,395012,1.21032,333
852020,5836500,43.41,395012,1.185165,334
852025,5836500,43.68,395012,1.13292,335
852030,5836500,44,395012,1.071,336
852035,5836500,44.42,395012,0.98973,337
852040,5836500,44.82,395012,0.91233,338
852045,5836500,44.99,395012,0.879435,339
851760,5836495,43.67,395012,1.134855,340
851765,5836495,43.61,395012,1.146465,341
851770,5836495,43.63,395012,1.142595,342
851775,5836495,43.66,395012,1.13679,343
851780,5836495,43.72,395012,1.12518,344
851785,5836495,43.73,395012,1.123245,345
851790,5836495,43.75,395012,1.119375,346
851795,5836495,43.76,395012,1.11744,347
851800,5836495,43.73,395012,1.123245,348
851805,5836495,43.66,395012,1.13679,349
851810,5836495,43.61,395012,1.146465,350
851815,5836495,43.57,395012,1.154205,351
851820,5836495,43.47,395012,1.173555,352
851825,5836495,43.36,395012,1.19484,353
851830,5836495,43.32,395012,1.20258,354
851835,5836495,43.23,395012,1.219995,355
851840,5836495,43.13,395012,1.239345,356
851845,5836495,43.01,395012,1.262565,357
851850,5836495,42.97,395012,1.270305,358
851930,5836495,43.11,395012,1.243215,359
851935,5836495,43.14,395012,1.23741,360
851940,5836495,43.18,395012,1.22967,361
851945,5836495,43.34,395012,1.19871,362
851950,5836495,43.46,395012,1.17549,363
851955,5836495,43.53,395012,1.161945,364
851960,5836495,43.63,395012,1.142595,365
851965,5836495,43.67,395012,1.134855,366
851970,5836495,43.68,395012,1.13292,367
851975,5836495,43.62,395012,1.14453,368
851980,5836495,43.56,395012,1.15614,369
851985,5836495,43.45,395012,1.177425,370
851990,5836495,43.37,395012,1.192905,371
851995,5836495,43.31,395012,1.204515,372
852000,5836495,43.23,395012,1.219995,373
852005,5836495,43.2,395012,1.2258,374
852010,5836495,43.22,395012,1.22193,375
852015,5836495,43.27,395012,1.212255,376
852020,5836495,43.4,395012,1.1871,377
852025,5836495,43.66,395012,1.13679,378
852030,5836495,43.99,395012,1.072935,379
852035,5836495,44.45,395012,0.983925,380
852040,5836495,44.79,395012,0.918135,381
852045,5836495,44.93,395012,0.891045,382
851755,5836490,44,395012,1.071,383
851760,5836490,43.84,395012,1.10196,384
851765,5836490,43.74,395012,1.12131,385
851770,5836490,43.67,395012,1.134855,386
851775,5836490,43.65,395012,1.138725,387
851780,5836490,43.67,395012,1.134855,388
851785,5836490,43.7,395012,1.12905,389
851790,5836490,43.75,395012,1.119375,390
851795,5836490,43.74,395012,1.12131,391
851800,5836490,43.77,395012,1.115505,392
851805,5836490,43.75,395012,1.119375,393
851810,5836490,43.71,395012,1.127115,394
851815,5836490,43.67,395012,1.134855,395
