run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name
1,TRUE,fixed,auto,WW_sfix_hauto,sim_WL.json,crop_WL.json,site_WL.json,FALSE,dwd/csvs,"dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30",,,,,,2023-10-01,2024-07-15,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1,,historic_runs,
2,TRUE,fixed,auto,SW_sfix_hauto,sim_WL.json,crop_WL.json,site_WL.json,FALSE,dwd/csvs,"dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30",,,,,,2023-03-01,2023-09-10,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1,,historic_runs,Brandenburg
3,TRUE,fixed,auto,SM_sfix_hauto,sim_WL.json,crop_WL.json,site_WL.json,FALSE,dwd/csvs,"dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30",,,,,,2023-03-31,2023-09-31,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1,,historic_runs,Brandenburg
4,TRUE,fixed,auto,SU_sfix_hauto,sim_WL.json,crop_WL.json,site_WL.json,FALSE,dwd/csvs,"dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30",,,,,,2023-04-01,2023-10-25,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1,,historic_runs,Brandenburg
5,TRUE,fixed,auto,PO_sfix_hauto,sim_WL.json,crop_WL.json,site_WL.json,FALSE,dwd/csvs,"dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30",,,,,,2023-04-01,2023-09-10,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1,,historic_runs,Brandenburg
